Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
 firefox.exe		15,396 K	41,276 K	7380	Firefox Developer Edition	Mozilla Corporation
firefox.exe	0.03	208,408 K	290,596 K	2004	Firefox	Mozilla Corporation
 firefox.exe		13,900 K	44,880 K	6268	Firefox	Mozilla Corporation
 firefox.exe		62,580 K	129,132 K	4768	Firefox	Mozilla Corporation
 firefox.exe		19,316 K	53,592 K	1080	Firefox	Mozilla Corporation
 firefox.exe	0.02	17,812 K	61,468 K	6900	Firefox	Mozilla Corporation
 firefox.exe		15,896 K	38,416 K	8268	Firefox	Mozilla Corporation
SystemSettingsAdminFlows.exe		2,904 K	11,496 K	7836		
gpg-agent.exe		1,960 K	8,480 K	764	GnuPG’s private key daemon	The GnuPG Project
csrss.exe	< 0.01	1,796 K	5,960 K	4828		
winlogon.exe		2,328 K	9,600 K	8724		
 dwm.exe	0.02	31,372 K	57,752 K	1060		
 fontdrvhost.exe		2,456 K	7,628 K	8844		
 LogonUI.exe		8,164 K	30,012 K	10332		
explorer.exe	0.24	41,948 K	125,532 K	9336		
 SecurityHealthSystray.exe		1,684 K	8,532 K	10528		
 VBoxTray.exe	0.03	2,432 K	10,376 K	10976		
OneDrive.exe		24,448 K	64,068 K	9836		
conhost.exe		6,852 K	14,740 K	8024	Console Window Host	Microsoft Corporation
bash.exe		5,616 K	7,796 K	5624		

